公司代號名稱,決議（擬議）進度,股利所屬年(季)度,股利所屬期間,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),摘錄公司章程-股利分派部分,備註
1216 - 統一,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/09,111/05/31,"12,137,214,826","19,879,061,609","28,419,896,753","13,078,455,116",2.7,0,0,"15,341,441,637",0,0,0,0,股東紅利應為累積可分配盈餘之50%至100%，現金股利比率不低於當年度股利分配總額之30%,無
1217 - 愛之味,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/25,111/06/24,0,"201,182,206","162,692,407","14,338,406",0.3,0,0,"148,354,001",0,0,0,0,"第三十條之一   公司年度總決算如有盈餘，
除預提應繳稅捐，彌補歷年虧損外，應先提撥
百分之十為法定盈餘公積及就當年度發生之股
東權益減項金額提列或迴轉特別盈餘公積，於
優先發放特別股當年度應分派及以前各年度累
積未分派之股息後，除保留部份不分配外由董
事會擬具盈餘分配案，提報股東會決議後分配
之。
食品產業所處環境多變，本公司正值穩定成長
階段。為因應業務成長資金需求及長期財務規
劃以求永續發展，由尚可分配盈餘提撥五十％
（含）以上為股利分派原則。本公司發放股票
股利及現金股利兩種，依公司成長率兼考量資
本支出情形，優先分派股票股利。其餘得分派
現金股利，比率不低於當年度股利分配總額之
十％（含），但現金股利每股若低於0.1元則
不予發放，改以股票股利發放。",無
1218 - 泰山,董事會決議,110年 年度,110/01/01~110/12/31,1,111/03/25,不適用,"181,440,113","591,827,052","784,926,807","284,927,769",1,0,0,"499,999,038",0,0,0,0,"本公司目前產業發展成熟，獲利穩定，惟鑑於未來數年仍有重大之擴充產能及垂直發展之計劃，故盈餘之分派或虧損撥補得於每季終了後為之，盈餘分派以現金發放者，依公司法第二百二十八條之一及第二百四十條第五項規定由董事會決議辦理，並報告股東會，無須提交股東會請求承認。每季決算如有盈餘，應先預估並保留應納稅捐後，彌補累積虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，並得依公司營運需要及法令規定提列或迴轉特別盈餘公積後，如尚有餘額，其餘額加計期初累積未分配盈餘，由董事會擬具議案決議分派之。現金股利分派之比例不得低於股利分配總額之百分之三十。
若每股股利未達新台幣0.1元，則董事會得以保留不予分派。",無
1220 - 台榮,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/24,111/06/29,"27,401,962","177,905,851","188,415,191","11,337,247",1,0,0,"177,077,944",0,0,0,0,"第二十七條:本公司應以當年度稅前利益扣除分配員工酬勞及董監酬勞前之利益於保留彌補虧損數額後，如尚有餘額應提撥百分之三點五為員工酬勞，董監酬勞不高於百分之四，董監酬勞及員工酬勞分派比率之決定及員工酬勞以股票或現金為之，應由董事會以董事三分之二以上出席及出席董事過半數同意之決議行之，並報告於股東會。
第二十七條之一:本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及就當年度發生之股東權益減項金額提列特別盈餘公積，其餘連同上一年度累積未分配盈餘提撥百分之五十至八十作為股東股利，其中現金股利部分不得低於股東股利總數之百分之十。惟若董事會決議分派股利當時，本公司股價於前一日收盤價低於面額時得全數發放現金股利。
如有前一年累積或當年度發生但當年度稅後盈餘不足提列之股東權益減項，應自前一年度累積未分配盈餘提列相同數額之特別盈餘公積，並於提撥供分派股東股利前先行扣除。",無
1225 - 福懋油,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/25,111/06/23,"323,170,792","453,112,335","731,384,881","381,459,999",1.6,0,0,"349,924,882",0,0,0,0,"本公司年度總決算如有本期稅後淨利，應先彌補累積虧損(包括調整未分配盈餘金額)，依法提撥10%為法定盈餘公積；但法定盈餘公積累積已達本公司實收資本額時，不存此限。次依法令或主管機關規定提撥或迴轉特別盈餘公積。嗣餘盈餘，連同期初未分配盈餘(包括調整未分配盈餘金額)，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司之股利發放政策，係以維持公司長期財務結構之健全及未來營運之成長與擴展為原則，以分派股票股利以保留所需之資金，其餘部份得以現金股利方式分派，惟現金股利不得少於股利總額之百分之十。",無
面額新台幣10元之公司,,,,,,,,,,,,,,,,,,,,
因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。,,,,,,,,,,,,,,,,,,,,
公司代號名稱,決議（擬議）進度,股利所屬年(季)度,股利所屬期間,期別,董事會（擬擬議）股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),摘錄公司章程-股利分派部分,備註
1227 - 佳格,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/21,111/06/16,"2,311,465,424","2,456,628,312","4,523,968,368","2,785,298,145",1.9,0,0,"1,738,670,223",0,0,0,0,本公司年度決算如有盈餘，應先提繳稅款、彌補累積虧損，並提撥10%為法定盈餘公積及依法令所需提列之特別盈餘公積或迴轉特別盈餘公積後，再就其餘額併同累積未分配盈餘提撥30%至100%做為股東股利，其中現金股利為可分配股利之30%至100%，惟若有重大投資計劃且無法取得其他資金支應者，得將現金股利發放比例降為可分配股利之5%至20%，上開盈餘分配議案由董事會擬具，提請股東會決議分派股東股利。,無
1229 - 聯華,現金股利經董事會決議、增資配股經董事會擬議,110年 第4季,110/10/01~110/12/31,1,111/03/09,111/06/23,"8,792,316,697","459,120,108","9,002,128,309","5,759,937,834",1.8,0,0,"2,537,366,465",0.5,0,0,"70,482,401","本公司正值穩定成長階段，且大部分盈餘來自
權益法認列之轉投資公司，為求公司永續經營
及長遠發展，本公司年度總決算如有盈餘，應
先提繳稅捐、彌補累積虧損、次提百分之十為
法定盈餘公積，並依法令規定提撥或迴轉特別
盈餘公積，如尚有盈餘，得優先分派特別股之
股息，其餘額加計累積未分配盈餘由董事會擬
具分派議案，以發行新股方式為之時，應提請
股東會決議後分派之；以發放現金方式為之時
，則依公司法第二百四十條第五項規定，授權
董事會以三分之二以上董事之出席，及出席董
事過半數同意之決議分派之，並報告股東會。
前述盈餘分配比率及股東現金股利之比率，得
由董事會考量公司財務結構、未來資金需求及
獲利情形，以現金股利不得低於股利總數百分
之十擬定之。",無
1229 - 聯華,董事會決議,110年 第3季,110/07/01~110/09/30,1,110/11/12,不適用,"7,917,303,517","875,013,180","8,792,316,697","8,792,316,697",0,0,0,0,0,0,0,0,"本公司正值穩定成長階段，且大部分盈餘來自
權益法認列之轉投資公司，為求公司永續經營
及長遠發展，本公司年度總決算如有盈餘，應
先提繳稅捐、彌補累積虧損、次提百分之十為
法定盈餘公積，並依法令規定提撥或迴轉特別
盈餘公積，如尚有盈餘，得優先分派特別股之
股息，其餘額加計累積未分配盈餘由董事會擬
具分派議案，以發行新股方式為之時，應提請
股東會決議後分派之；以發放現金方式為之
時，則依公司法第二百四十條第五項規定，授
權董事會以三分之二以上董事之出席，及出席
董事過半數同意之決議分派之，並報告股東
會。前述盈餘分配比率及股東現金股利之比
率，得由董事會考量公司財務結構、未來資金
需求及獲利情形，以現金股利不得低於股利總
數百分之十擬定之。",無
1229 - 聯華,董事會決議,110年 第2季,110/04/01~110/06/30,1,110/08/13,不適用,"6,411,900,090","1,505,403,427","7,917,303,517","7,917,303,517",0,0,0,0,0,0,0,0,"本公司正值穩定成長階段，且大部分盈餘來自
權益法認列之轉投資公司，為求公司永續經營
及長遠發展，本公司年度總決算如有盈餘，應
先提繳稅捐、彌補累積虧損、次提百分之十為
法定盈餘公積，並依法令規定提撥或迴轉特別
盈餘公積，如尚有盈餘，得優先分派特別股之
股息，其餘額加計累積未分配盈餘由董事會擬
具分派議案，以發行新股方式為之時，應提請
股東會決議後分派之；以發放現金方式為之時
，則依公司法第二百四十條第五項規定，授權
董事會以三分之二以上董事之出席，及出席董
事過半數同意之決議分派之，並報告股東會。
前述盈餘分配比率及股東現金股利之比率，得
由董事會考量公司財務結構、未來資金需求及
獲利情形，以現金股利不得低於股利總數百分
之十擬定之。","本公司110年7月29日經股東常會決議通過
修正公司章程，盈餘分派改為每季為之。"
1229 - 聯華,董事會決議,110年 第1季,110/01/01~110/03/31,1,110/08/13,不適用,"5,162,294,388","1,249,605,702","6,411,900,090","6,411,900,090",0,0,0,0,0,0,0,0,"本公司正值穩定成長階段，且大部分盈餘來自
權益法認列之轉投資公司，為求公司永續經營
及長遠發展，本公司年度總決算如有盈餘，應
先提繳稅捐、彌補累積虧損、次提百分之十為
法定盈餘公積，並依法令規定提撥或迴轉特別
盈餘公積，如尚有盈餘，得優先分派特別股之
股息，其餘額加計累積未分配盈餘由董事會擬
具分派議案，以發行新股方式為之時，應提請
股東會決議後分派之；以發放現金方式為之時
，則依公司法第二百四十條第五項規定，授權
董事會以三分之二以上董事之出席，及出席董
事過半數同意之決議分派之，並報告股東會。
前述盈餘分配比率及股東現金股利之比率，得
由董事會考量公司財務結構、未來資金需求及
獲利情形，以現金股利不得低於股利總數百分
之十擬定之。","本公司110年7月29日經股東常會決議通過
修正公司章程，盈餘分派改為每季為之。"
1231 - 聯華食,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/09,111/05/27,"986,649,050","814,001,838","1,699,879,082","1,175,296,858",1.5,0,0,"302,643,594",1.1,0,0,"22,193,863","本公司年度決算後如有盈餘，應先提繳稅款，
彌補以往年度虧損後，次提撥百分之十為法定
盈餘公積，但法定盈餘公積已達本公司實收資
本額時，得不再提列，其餘再依法令或主管機
關規定提列或迴轉特別盈餘公積，如尚有餘
額，併同累積未分配盈餘，由董事會擬具盈餘
分配議案，提請股東會決議分配之。 
本公司股利政策，係由董事會視公司歷年盈
餘、目前及未來之投資環境、資金需求、國內
外競爭狀況及資本預算等因素，並兼顧股東利
益、平衡股利及公司長期之財務規劃，每年依
法由董事會擬具，提報股東會決議。本公司每
年股東股息紅利以不低於當年度稅後盈餘之百
分之五十為原則；盈餘之分派得以現金股利或
股票股利之方式為之，其中現金股利之金額，
不得低於當年度發放股利總數之百分之二十。",無
1232 - 大統益,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/02/23,111/05/25,"513,834,379","1,241,709,588","1,652,094,088","692,244,598",6,0,0,"959,849,490",0,0,0,0,"股東紅利應為可供分配盈餘總額之50%至100%。
本公司股利政策係考慮公司未來之資本支出預算及資金需求，並衡量以盈餘支應資金需求之必要性，以分派現金股利為優先。",無
1233 - 天仁,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/15,111/06/14,"215,361","43,128,173","62,526,181","17,137",0.69,0,0.11,"72,473,558",0,0,0,0,"本公司應依當年度獲利狀況，提撥百分之二為員工酬勞及不高於百分之二為董監事酬勞。但公司尚有累積虧損（包括調整未分配盈餘金額）時，應預先保留彌補數額。
所謂獲利狀況係指稅前純益扣除員工酬勞及董監事酬勞前之利益。
前項員工酬勞得以股票或現金為之，其給付對象得包括符合一定條件之從屬公司員工。前項董監事酬勞僅得以現金為之。",無
1234 - 黑松,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/22,111/06/23,"6,184,394,491","796,809,561","6,941,844,113","6,258,663,253",1.7,0,0,"683,180,860",0,0,0,0,本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股利。每年分配股東股利以不低於當年度稅後盈餘之百分之五十為原則；分配股東股利時，得以現金或股票方式為之，其中現金股利以不低於股利總數之百分之三十為原則。,無。
1235 - 興泰,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/28,111/06/16,"257,649,311","82,079,768","654,423,374","257,711,039",1,0,0,"104,397,985",2.8,0,0,"29,231,435",公司年度總決算如有盈餘，應先提繳稅款，彌補累積虧損，次提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時不在此限；另視公司營運需要及法令規定提列或迴轉特別盈餘公積，如尚有餘額併同期初未分配盈餘，由董事會擬具盈餘分配案提請股東會決議分派之。惟累積可供分配盈餘低於實收股本5%時，得不予分配；分配股東股息紅利時，得以現金或股票方式為之。,無
1236 - 宏亞,董事會決議,110年 年度,110/01/01~110/12/31,1,111/02/23,不適用,"132,570,014","-27,356,559","182,894,405","128,723,150",0.5,0,0,"54,171,255",0,0,0,0,本公司之股利政策，基於公司不斷成長，促使營運獲利及股東權益最大化之考量並兼顧穩定經營發展，年度股利發放不低於可分配盈餘之五十%為原則；其中現金股利至少佔發放股利百分之二十。,無。
1256 - 鮮活果汁-KY,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/08,111/05/26,"1,150,555,318","708,708,291","1,768,208,682","1,328,260,602",13,0,0,"439,948,080",0,0,0,0,123(C)本公司於會計年度終了時如有當期淨利，應先彌補虧損，次提百分之十為法定盈餘公積。但法定盈餘公積已達資本總額時，不在此限。如尚有盈餘，除本章程另有規定外，得加計以前年度未分配盈餘為股東股息及紅利，由董事會擬具盈餘分配議案，經股東常會以普通決議分派之，並依股東持股比例，派付股東股息及紅利。惟應依開曼公司法及適用之掛牌規則之規定，在考量財務、業務及經營因素後，以不低於當期淨利20%，作為股東股息或紅利進行分配。股東股利採股票股利及現金股利兩種方式互相配合方式發放（不滿一股之金額，以現金分派之），其中現金股利占股利總額不低於百分之三十。,無
1301 - 台塑,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/10,111/06/09,"35,819,897,455","71,355,310,849","88,827,267,074","36,628,192,670",8.2,0,0,"52,199,074,404",0,0,0,0,"本公司年度總決算如有盈餘應先提繳稅款，彌補累積虧損，再提百分之十為法定盈餘公積，並於必要時酌提特別盈餘公積，次提股息，當年度如尚有盈餘，併同以前年度累積未分配盈餘，由董事會擬具股東紅利分配案，提請股東常會決議分派之。
前項特別盈餘公積包含：
一、因特殊用途所提列之盈餘公積。
二、依權益法認列之投資收益及未使用之所得稅抵減額。
三、其他依法令規定提列之特別盈餘公積。
本公司所營事業屬成熟期產業，每年獲利相當穩定，股利政策採現金股利、盈餘轉增資與資本公積轉增資三種方式搭配發放，就當年度可分配盈餘扣除法定盈餘公積及特別盈餘公積後，至少分配百分之五十以上，並以發放現金股利為優先，盈餘轉增資及資本公積轉增資合計之比例，不得超過當年全部股利之百分之五十。",無
1303 - 南亞,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/11,111/06/10,"13,998,218,324","81,295,023,436","79,295,912,329","19,814,750,411",7.5,0,0,"59,481,161,918",0,0,0,0,"本公司年度總決算如有盈餘應先提繳稅款，彌
補累積虧損，再提百分之十為法定盈餘公積，
並於必要時得酌提特別盈餘公積，次提股息，
當年度如尚有盈餘，併同以前年度累積未分配
盈餘，由董事會擬具股東紅利分配案，提請股
東常會決議分派之。",無
1304 - 台聚,董事會擬議,110年 年度,110/01/01~110/12/31,1,111/03/10,111/05/31,"4,590,169,920","5,191,394,257","9,352,109,738","6,736,830,038",2.2,0,0,"2,615,279,700",0,0,0,0,"本公司年度總決算如有稅後盈餘，應先彌補以往年度虧損，如尚有餘額，於提撥百分之十法定盈餘公積後 ，為當年度可分配盈餘，
再連同以前年度累積未分配盈餘及依法令或主管機關規定提列或轉回特別盈餘公積後之餘額，作為累積可分配之盈餘，
由董事會擬定盈餘分配案後，依法定程序提請股東會決議，股東會得視業務狀況保留全部或部分盈餘。
決議分派盈餘時，因本公司產業屬於成熟期，為考量研發需求及多角化經營，股東股利不低於當年度可分配盈餘之百分之十，
其中現金股利不低於全部股利之百分之十。惟如當年度每股可分配盈餘低於零點一元時，得不分派。&amp;#160;","(1)透過其他綜合損益按公允價值衡量權益工具之處分利益
NT100,453,754元
(2)確定福利計畫再衡量數調整保留盈餘
NT(803,769)元
合計:NT99,649,985元。"
面額新台幣10元之公司,,,,,,,,,,,,,,,,,,,,
因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。,,,,,,,,,,,,,,,,,,,,
