出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","105","4","1785","光洋科","25265540.00","24562950.00","702590.00","--","--","702590.00","1361834.00","--","-659244.00","151679.00","-507565.00","-34914.00","-472651.00","--","--","-472651.00","-134291.00","--","-606942.00","-485453.00","--","12802.00","-617971.00","--","11029.00","-1.23"
"110/05/29","105","4","1788","杏昌","2832628.00","2235163.00","597465.00","--","--","597465.00","354989.00","--","242476.00","17009.00","259485.00","51928.00","207557.00","--","--","207557.00","-5049.00","--","202508.00","207557.00","--","0.00","202508.00","--","0.00","5.93"
"110/05/29","105","4","1796","金穎生技","452560.00","226360.00","226200.00","--","--","226200.00","109690.00","--","116510.00","163.00","116673.00","22551.00","94122.00","--","--","94122.00","-1510.00","--","92612.00","94122.00","--","--","92612.00","--","--","3.79"
"110/05/29","105","4","1799","易威","327900.00","311253.00","16647.00","--","--","16647.00","287245.00","--","-270598.00","-8481.00","-279079.00","-426.00","-278653.00","--","--","-278653.00","-5926.00","--","-284579.00","-255056.00","--","-23597.00","-260174.00","--","-24405.00","-3.84"
"110/05/29","105","4","1813","寶利徠","319421.00","239229.00","80192.00","--","--","80192.00","78242.00","--","1950.00","45143.00","47093.00","2993.00","44100.00","--","--","44100.00","7695.00","--","51795.00","50178.00","--","-6078.00","54105.00","--","-2310.00","1.08"
"110/05/29","105","4","1815","富喬","4798326.00","3640963.00","1157363.00","--","--","1157363.00","559879.00","--","597484.00","-67068.00","530416.00","94609.00","435807.00","--","--","435807.00","-93804.00","--","342003.00","435807.00","--","--","342003.00","--","--","1.09"
"110/05/29","105","4","2035","唐榮公司","13021328.00","12259352.00","761976.00","--","--","761976.00","341643.00","--","420333.00","125986.00","546319.00","42969.00","503350.00","--","--","503350.00","-24441.00","--","478909.00","503350.00","--","0.00","478909.00","--","0.00","1.44"
"110/05/29","105","4","2061","風青","938568.00","890685.00","47883.00","--","--","47883.00","58881.00","--","-10998.00","15483.00","4485.00","-27.00","4512.00","--","--","4512.00","-353.00","--","4159.00","4512.00","--","--","4159.00","--","--","0.07"
"110/05/29","105","4","2063","世鎧","771697.00","546105.00","225592.00","--","--","225592.00","124133.00","--","101459.00","-31354.00","70105.00","8140.00","61965.00","--","--","61965.00","-2178.00","--","59787.00","61965.00","--","--","59787.00","--","--","1.38"
"110/05/29","105","4","2064","晉椿","2138156.00","1899348.00","238808.00","--","--","238808.00","118721.00","--","120087.00","26734.00","146821.00","26621.00","120200.00","--","--","120200.00","-13258.00","--","106942.00","121347.00","--","-1147.00","108765.00","--","-1823.00","1.73"
"110/05/29","105","4","2065","世豐","1118385.00","921918.00","196467.00","--","--","196467.00","133184.00","--","63283.00","38654.00","101937.00","12964.00","88973.00","--","--","88973.00","184223.00","--","273196.00","--","--","--","--","--","--","3.04"
"110/05/29","105","4","2066","世德","1279653.00","850651.00","429002.00","--","--","429002.00","136463.00","--","292539.00","-13582.00","278957.00","59369.00","219588.00","--","--","219588.00","-492.00","--","219096.00","--","--","--","--","--","--","6.02"
"110/05/29","105","4","2067","嘉鋼","1006518.00","832820.00","173698.00","--","--","173698.00","210565.00","--","-36867.00","11276.00","-25591.00","-326.00","-25265.00","--","--","-25265.00","-24864.00","--","-50129.00","-29736.00","--","4471.00","-51824.00","--","1695.00","-0.96"
"110/05/29","105","4","2070","精湛","846239.00","467086.00","379153.00","--","--","379153.00","243996.00","--","135157.00","-12252.00","122905.00","31529.00","91376.00","--","--","91376.00","-12197.00","--","79179.00","91376.00","--","--","79179.00","--","--","3.11"
"110/05/29","105","4","2221","大甲","907612.00","701153.00","206459.00","0.00","--","206459.00","99691.00","--","106768.00","1554.00","108322.00","20244.00","88078.00","--","--","88078.00","-4075.00","--","84003.00","85028.00","--","3050.00","80953.00","--","3050.00","2.03"
"110/05/29","105","4","2230","泰茂","467579.00","374540.00","93039.00","--","--","93039.00","78430.00","19.00","14628.00","-2270.00","12358.00","3395.00","8963.00","--","--","8963.00","-21712.00","--","-12749.00","938.00","--","8025.00","-16858.00","--","4109.00","0.02"
"110/05/29","105","4","2235","謚源","900085.00","610940.00","289145.00","--","--","289145.00","85149.00","--","203996.00","17501.00","221497.00","41467.00","180030.00","--","--","180030.00","129.00","0.00","180159.00","--","--","--","--","--","--","5.65"
"110/05/29","105","4","2596","綠意","1383871.00","782570.00","601301.00","--","--","601301.00","144457.00","--","456844.00","5356.00","462200.00","4921.00","457279.00","--","--","457279.00","0.00","--","457279.00","351916.00","--","105363.00","351916.00","--","105363.00","4.24"
"110/05/29","105","4","2640","大車隊","1656539.00","938556.00","717983.00","--","--","717983.00","495085.00","--","222898.00","-26716.00","196182.00","53767.00","142415.00","--","--","142415.00","14.00","--","142429.00","143731.00","--","-1316.00","143745.00","--","-1316.00","3.10"
"110/05/29","105","4","2641","正德","802604.00","695588.00","107016.00","--","--","107016.00","54885.00","--","52131.00","-63068.00","-10937.00","-10980.00","43.00","--","--","43.00","-37586.00","--","-37543.00","43.00","--","--","-37543.00","--","--","0.00"
"110/05/29","105","4","2643","捷迅","2835453.00","2431997.00","403456.00","--","--","403456.00","207625.00","--","195831.00","1271.00","197102.00","62819.00","134283.00","--","--","134283.00","-11704.00","--","122579.00","134283.00","--","--","122579.00","--","--","5.27"
"110/05/29","105","4","2718","晶悅","255053.00","205038.00","50015.00","--","--","50015.00","37258.00","--","12757.00","3707.00","16464.00","3839.00","12625.00","--","--","12625.00","-1373.00","--","11252.00","--","--","--","--","--","--","0.56"
"110/05/29","105","4","2719","燦星旅","2502089.00","2167463.00","334626.00","--","--","334626.00","394317.00","--","-59691.00","-5051.00","-64742.00","-364.00","-64378.00","--","--","-64378.00","179.00","--","-64199.00","-64378.00","--","--","-64199.00","--","--","-1.78"
"110/05/29","105","4","2724","富驛-KY","824999.00","738231.00","86768.00","0.00","--","86768.00","227355.00","-154487.00","-295074.00","-286479.00","-581553.00","19896.00","-601449.00","--","--","-601449.00","-10736.00","--","-612185.00","-601449.00","--","--","-612185.00","--","--","-15.76"
"110/05/29","105","4","2726","雅茗-KY","1756577.00","823973.00","932604.00","--","--","932604.00","769178.00","--","163426.00","6488.00","169914.00","54761.00","115153.00","--","--","115153.00","-48335.00","--","66818.00","121288.00","--","-6135.00","74055.00","--","-7237.00","4.03"
"110/05/29","105","4","2729","瓦城","3853477.00","1849406.00","2004071.00","--","--","2004071.00","1639557.00","--","364514.00","4887.00","369401.00","64140.00","305261.00","--","--","305261.00","-10879.00","--","294382.00","305318.00","--","-57.00","294439.00","--","-57.00","13.12"
"110/05/29","105","4","2732","六角","2094466.00","959633.00","1134833.00","--","19.00","1134852.00","903086.00","-11383.00","220383.00","-21012.00","199371.00","39612.00","159759.00","--","--","159759.00","-6185.00","--","153574.00","151695.00","--","8064.00","147828.00","--","5746.00","4.82"
"110/05/29","105","4","2734","易飛網","1570917.00","1372885.00","198032.00","--","--","198032.00","250363.00","--","-52331.00","-13506.00","-65837.00","-563.00","-65274.00","--","--","-65274.00","-697.00","--","-65971.00","-65010.00","--","-264.00","-65653.00","--","-318.00","-2.15"
"110/05/29","105","4","2736","高野","699346.00","320795.00","378551.00","--","--","378551.00","304902.00","--","73649.00","-2949.00","70700.00","27060.00","43640.00","--","--","43640.00","--","--","43640.00","43640.00","--","0.00","43640.00","--","0.00","0.89"
"110/05/29","105","4","2740","天蔥","736125.00","394816.00","341309.00","--","--","341309.00","379502.00","--","-38193.00","-4611.00","-42804.00","500.00","-43304.00","--","--","-43304.00","-653.00","--","-43957.00","-41990.00","--","-1314.00","-42643.00","--","-1314.00","-2.63"
"110/05/29","105","4","2743","山富","5330615.00","5049416.00","281199.00","--","--","281199.00","366649.00","--","-85450.00","-3786.00","-89236.00","-14401.00","-74835.00","2528.00","--","-72307.00","47.00","--","-72260.00","-72307.00","--","--","-72260.00","--","--","-2.68"
"110/05/29","105","4","2745","五福","5886006.00","5275410.00","610596.00","--","--","610596.00","607278.00","--","3318.00","13814.00","17132.00","7107.00","10025.00","--","--","10025.00","--","--","10025.00","10025.00","--","--","10025.00","--","--","0.40"
"110/05/29","105","4","2752","豆府","769072.00","327883.00","441189.00","--","--","441189.00","323598.00","--","117591.00","-713.00","116878.00","24432.00","92446.00","--","--","92446.00","--","--","92446.00","92483.00","--","-37.00","92483.00","--","-37.00","22.17"
"110/05/29","105","4","2916","滿心","1310403.00","699883.00","610520.00","--","--","610520.00","557029.00","--","53491.00","17286.00","70777.00","12060.00","58717.00","--","--","58717.00","-11965.00","--","46752.00","58717.00","--","--","46752.00","--","--","1.07"
"110/05/29","105","4","2924","東凌-KY","1094029.00","385332.00","708697.00","--","--","708697.00","677988.00","--","30709.00","-2648.00","28061.00","14136.00","13925.00","--","--","13925.00","-57699.00","--","-43774.00","13925.00","--","--","-43774.00","--","--","0.41"
"110/05/29","105","4","2926","誠品生活","4262258.00","2222578.00","2039680.00","--","--","2039680.00","1588808.00","0.00","450872.00","62011.00","512883.00","92220.00","420663.00","--","--","420663.00","-14749.00","--","405914.00","420663.00","--","--","405914.00","--","--","8.88"
"110/05/29","105","4","2928","紅馬-KY","5727280.00","3360709.00","2366571.00","--","--","2366571.00","2149799.00","--","216772.00","75344.00","292116.00","91631.00","200485.00","--","--","200485.00","-23276.00","--","177209.00","200485.00","--","--","177209.00","--","--","4.27"
"110/05/29","105","4","2937","集雅社","1406774.00","1045118.00","361656.00","--","--","361656.00","295574.00","--","66082.00","-18046.00","48036.00","9007.00","39029.00","--","--","39029.00","2973.00","--","42002.00","39029.00","--","--","42002.00","--","--","1.30"
"110/05/29","105","4","3064","泰偉","193107.00","57218.00","135889.00","--","--","135889.00","274056.00","--","-138167.00","4240.00","-133927.00","28596.00","-162523.00","--","--","-162523.00","-23751.00","--","-186274.00","-157645.00","--","-4878.00","-180694.00","--","-5580.00","-2.19"
"110/05/29","105","4","3066","李洲","448833.00","456249.00","-7416.00","--","--","-7416.00","164405.00","--","-171821.00","-10277.00","-182098.00","3259.00","-185357.00","--","--","-185357.00","48657.00","--","-136700.00","-132220.00","--","-53137.00","-54975.00","--","-81725.00","-1.59"
"110/05/29","105","4","3067","全域","260325.00","195669.00","64656.00","--","--","64656.00","93611.00","--","-28955.00","13494.00","-15461.00","71.00","-15532.00","--","--","-15532.00","-12820.00","--","-28352.00","-15532.00","--","0.00","-28352.00","--","0.00","-0.54"
"110/05/29","105","4","3071","協禧","2240802.00","1719141.00","521661.00","--","--","521661.00","434370.00","--","87291.00","11118.00","98409.00","11642.00","86767.00","0.00","--","86767.00","-85354.00","--","1413.00","86767.00","--","0.00","1413.00","--","0.00","0.59"
"110/05/29","105","4","3073","天方能源","213502.00","175809.00","37693.00","0.00","--","37693.00","40071.00","--","-2378.00","1904.00","-474.00","0.00","-474.00","--","--","-474.00","-2496.00","--","-2970.00","9.00","--","-483.00","-2487.00","--","-483.00","0.00"
"110/05/29","105","4","3078","僑威","5944188.00","4319686.00","1624502.00","--","--","1624502.00","641529.00","--","982973.00","40391.00","1023364.00","254334.00","769030.00","--","--","769030.00","-155353.00","--","613677.00","769030.00","--","--","613677.00","--","--","3.38"
"110/05/29","105","4","3081","聯亞","2110063.00","851700.00","1258363.00","--","--","1258363.00","209964.00","--","1048399.00","9183.00","1057582.00","182135.00","875447.00","--","--","875447.00","30.00","--","875477.00","--","--","--","--","--","--","9.64"
"110/05/29","105","4","3083","網龍","346202.00","56200.00","290002.00","--","--","290002.00","410990.00","--","-120988.00","36773.00","-84215.00","-714.00","-83501.00","--","--","-83501.00","-15987.00","--","-99488.00","-77434.00","--","-6067.00","-93421.00","--","-6067.00","-0.90"
"110/05/29","105","4","3085","新零售","326215.00","248575.00","77640.00","--","--","77640.00","135356.00","--","-57716.00","1111.00","-56605.00","18206.00","-74811.00","--","--","-74811.00","1140.00","--","-73671.00","-59461.00","--","-15350.00","-58725.00","--","-14946.00","-0.78"
"110/05/29","105","4","3086","華義","199393.00","195172.00","4221.00","--","--","4221.00","184040.00","--","-179819.00","-30868.00","-210687.00","17105.00","-227792.00","--","--","-227792.00","3834.00","--","-223958.00","-227640.00","--","-152.00","-223806.00","--","-152.00","-3.67"
"110/05/29","105","4","3088","艾訊","4707109.00","2961663.00","1745446.00","--","--","1745446.00","1254652.00","--","490794.00","2775.00","493569.00","118761.00","374808.00","--","--","374808.00","-9494.00","--","365314.00","360023.00","--","14785.00","350920.00","--","14394.00","4.56"
"110/05/29","105","4","3089","元炬","216696.00","205419.00","11277.00","0.00","3478.00","14755.00","132063.00","--","-117308.00","-402437.00","-519745.00","-3592.00","-516153.00","--","--","-516153.00","-25580.00","--","-541733.00","-512690.00","--","-3463.00","-537666.00","--","-4067.00","-6.74"
"110/05/29","105","4","3093","港建","908474.00","548643.00","359831.00","--","--","359831.00","267324.00","--","92507.00","10077.00","102584.00","22389.00","80195.00","--","--","80195.00","-3727.00","--","76468.00","73671.00","--","6524.00","72037.00","--","4431.00","2.03"
"110/05/29","105","4","3095","及成","1227081.00","1123662.00","103419.00","--","--","103419.00","531394.00","-193189.00","-621164.00","146943.00","-474221.00","836.00","-475057.00","--","--","-475057.00","-54891.00","--","-529948.00","-458751.00","--","-16306.00","-474635.00","--","-55313.00","-4.20"
"110/05/29","105","4","3105","穩懋","13623076.00","8633824.00","4989252.00","--","--","4989252.00","1511609.00","16959.00","3494602.00","392942.00","3887544.00","791239.00","3096305.00","--","--","3096305.00","340654.00","--","3436959.00","3112774.00","--","-16469.00","3480374.00","--","-43415.00","6.04"
"110/05/29","105","4","3114","好德","1813274.00","1610645.00","202629.00","--","--","202629.00","161108.00","--","41521.00","-12806.00","28715.00","6981.00","21734.00","--","--","21734.00","-14845.00","--","6889.00","21734.00","--","0.00","6889.00","--","0.00","0.43"
"110/05/29","105","4","3115","寶島極","641658.00","568772.00","72886.00","--","--","72886.00","78632.00","--","-5746.00","3086.00","-2660.00","1355.00","-4015.00","--","--","-4015.00","-9391.00","--","-13406.00","-4015.00","--","--","-13406.00","--","--","-0.09"
"110/05/29","105","4","3118","進階","513542.00","319720.00","193822.00","--","--","193822.00","119294.00","--","74528.00","1921.00","76449.00","13187.00","63262.00","--","--","63262.00","-1026.00","--","62236.00","--","--","--","--","--","--","1.95"
"110/05/29","105","4","3122","笙泉","602098.00","388619.00","213479.00","--","--","213479.00","182242.00","--","31237.00","-748.00","30489.00","4510.00","25979.00","--","--","25979.00","-2467.00","--","23512.00","25979.00","--","0.00","23512.00","--","0.00","0.67"
"110/05/29","105","4","3128","昇銳","762730.00","606969.00","155761.00","--","--","155761.00","147879.00","--","7882.00","4967.00","12849.00","543.00","12306.00","--","--","12306.00","-6919.00","--","5387.00","9751.00","--","2555.00","3214.00","--","2173.00","0.23"
"110/05/29","105","4","3131","弘塑","2163534.00","1221745.00","941789.00","--","--","941789.00","439573.00","--","502216.00","-13759.00","488457.00","95934.00","392523.00","--","--","392523.00","145799.00","--","538322.00","392523.00","--","--","538322.00","--","--","15.90"
"110/05/29","105","4","3141","晶宏","1251665.00","668719.00","582946.00","--","--","582946.00","419512.00","-2231.00","161203.00","5843.00","167046.00","26035.00","141011.00","--","--","141011.00","-7941.00","--","133070.00","141011.00","--","--","133070.00","--","--","2.28"
"110/05/29","105","4","3144","新揚科","2222419.00","1817174.00","405245.00","--","--","405245.00","207932.00","--","197313.00","-58988.00","138325.00","28125.00","110200.00","--","--","110200.00","-36324.00","--","73876.00","110200.00","--","0.00","73876.00","--","0.00","1.10"
"110/05/29","105","4","3147","大綜","2367086.00","2088126.00","278960.00","--","--","278960.00","229357.00","--","49603.00","2029.00","51632.00","11651.00","39981.00","--","--","39981.00","-4655.00","--","35326.00","39981.00","--","--","35326.00","--","--","1.33"
"110/05/29","105","4","3152","璟德","1909472.00","725629.00","1183843.00","--","--","1183843.00","207334.00","--","976509.00","-4610.00","971899.00","165223.00","806676.00","--","--","806676.00","-157.00","--","806519.00","--","--","--","--","--","--","11.69"
"110/05/29","105","4","3162","精確","651143.00","656066.00","-4923.00","--","--","-4923.00","120371.00","--","-125294.00","-47756.00","-173050.00","13404.00","-186454.00","--","--","-186454.00","-24163.00","--","-210617.00","-186454.00","--","--","-210617.00","--","--","-3.30"
"110/05/29","105","4","3163","波若威","3274304.00","2556176.00","718128.00","--","--","718128.00","378677.00","--","339451.00","33320.00","372771.00","73330.00","299441.00","--","--","299441.00","-64327.00","--","235114.00","299441.00","--","--","235114.00","--","--","4.11"
"110/05/29","105","4","3169","亞信","645897.00","401912.00","243985.00","--","--","243985.00","169791.00","--","74194.00","454.00","74648.00","13024.00","61624.00","--","--","61624.00","-4600.00","--","57024.00","61624.00","--","0.00","57024.00","--","0.00","1.18"
"110/05/29","105","4","3171","新洲","1693777.00","1329061.00","364716.00","--","--","364716.00","296785.00","--","67931.00","15068.00","82999.00","605.00","82394.00","--","--","82394.00","-8072.00","--","74322.00","82394.00","--","--","74322.00","--","--","1.39"
"110/05/29","105","4","3176","基亞","399892.00","293306.00","106586.00","--","--","106586.00","856920.00","--","-750334.00","-183172.00","-933506.00","-40866.00","-892640.00","--","--","-892640.00","5324.00","--","-887316.00","-568307.00","--","-324333.00","-562983.00","--","-324333.00","-4.10"
"110/05/29","105","4","3178","公準","1213719.00","817688.00","396031.00","--","--","396031.00","144119.00","--","251912.00","-20767.00","231145.00","46300.00","184845.00","--","--","184845.00","-7799.00","--","177046.00","185993.00","--","-1148.00","178873.00","--","-1827.00","4.71"
"110/05/29","105","4","3188","鑫龍騰","98024.00","90846.00","7178.00","--","--","7178.00","40040.00","--","-32862.00","-5386.00","-38248.00","-1111.00","-37137.00","-5851.00","--","-42988.00","3977.00","--","-39011.00","-42988.00","--","--","-39011.00","--","--","-0.48"
"110/05/29","105","4","3191","和進","294069.00","257113.00","36956.00","--","--","36956.00","90827.00","--","-53871.00","-33276.00","-87147.00","460.00","-87607.00","-151191.00","--","-238798.00","-16517.00","--","-255315.00","-238798.00","--","--","-255315.00","--","--","-4.37"
"110/05/29","105","4","3202","樺晟","2627754.00","2318517.00","309237.00","--","--","309237.00","253917.00","--","55320.00","39251.00","94571.00","43815.00","50756.00","--","--","50756.00","-95724.00","--","-44968.00","55475.00","--","-4719.00","-39002.00","--","-5966.00","0.57"
"110/05/29","105","4","3205","佰研","1384356.00","808423.00","575933.00","--","--","575933.00","217701.00","--","358232.00","-5543.00","352689.00","84496.00","268193.00","--","--","268193.00","-3733.00","--","264460.00","268193.00","--","--","264460.00","--","--","8.66"
"110/05/29","105","4","3206","志豐","1950724.00","1503174.00","447550.00","--","--","447550.00","347438.00","--","100112.00","-14782.00","85330.00","26572.00","58758.00","--","--","58758.00","-34604.00","--","24154.00","58758.00","0.00","0.00","24154.00","0.00","0.00","1.31"
"110/05/29","105","4","3207","耀勝","1101926.00","953445.00","148481.00","--","--","148481.00","169276.00","0.00","-20795.00","37053.00","16258.00","8005.00","8253.00","--","--","8253.00","-22518.00","--","-14265.00","9840.00","--","-1587.00","-12701.00","--","-1564.00","0.26"
"110/05/29","105","4","3211","順達","17574379.00","16757709.00","816670.00","--","--","816670.00","629919.00","--","186751.00","449443.00","636194.00","162071.00","474123.00","--","--","474123.00","-468491.00","--","5632.00","474123.00","--","--","5632.00","--","--","3.21"
"110/05/29","105","4","3213","茂訊","2152621.00","1605881.00","546740.00","717.00","--","546023.00","257730.00","--","288293.00","27990.00","316283.00","57017.00","259266.00","--","--","259266.00","-32982.00","--","226284.00","--","--","--","--","--","--","4.42"
"110/05/29","105","4","3217","優群","1464421.00","924984.00","539437.00","--","--","539437.00","324724.00","--","214713.00","34071.00","248784.00","59483.00","189301.00","--","--","189301.00","-9796.00","--","179505.00","189301.00","--","0.00","179505.00","--","0.00","2.31"
"110/05/29","105","4","3218","大學光","1072973.00","481966.00","591007.00","--","--","591007.00","477324.00","--","113683.00","-3072.00","110611.00","18807.00","91804.00","--","--","91804.00","-8964.00","--","82840.00","91804.00","--","0.00","82840.00","--","0.00","1.39"
"110/05/29","105","4","3219","倚強科","126564.00","107034.00","19530.00","--","--","19530.00","46931.00","--","-27401.00","1621.00","-25780.00","0.00","-25780.00","--","--","-25780.00","-689.00","--","-26469.00","-25780.00","--","--","-26469.00","--","--","-1.11"
"110/05/29","105","4","3221","台嘉碩","1938884.00","1591864.00","347020.00","-1107.00","--","348127.00","263013.00","--","85114.00","35973.00","121087.00","16550.00","104537.00","--","--","104537.00","-55036.00","--","49501.00","104794.00","--","-257.00","50048.00","--","-547.00","1.21"
"110/05/29","105","4","3224","三顧","1662820.00","1517614.00","145206.00","--","--","145206.00","201398.00","--","-56192.00","-9537.00","-65729.00","-9534.00","-56195.00","--","--","-56195.00","-6382.00","--","-62577.00","-56195.00","--","--","-62577.00","--","--","-1.40"
"110/05/29","105","4","3226","至寶電","1272628.00","942780.00","329848.00","--","--","329848.00","110284.00","--","219564.00","-12392.00","207172.00","40300.00","166872.00","--","--","166872.00","640.00","--","167512.00","166872.00","--","0.00","167512.00","--","0.00","2.59"
