"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","摘錄公司章程-股利分派部分","備註",
"1584 - 精剛","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/19","                  0","          1,892,016","                  0","                  0","0.0","0.0","                  0","0.0","0.0","                  0","本公司年終結算如有盈餘，除提付應納稅款外，應先彌補以往年度虧損，次就其餘額提
出百分之十為法定盈餘公積，並得視業務需
要或法令規定提列特別盈餘公積，如尚有盈餘，加計前期累積未分配盈餘後，由董事會
擬定分配案，提請股東會通過後分配之。
本公司正處於成長期，為因應未來營運擴展
計劃，盈餘之分派以現金股利為優先，亦得
搭配以股票股利之方式分派。","",
"1586 - 和勤","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/07","        164,530,367","        -36,923,440","        125,905,788","        125,905,788","0.0","0.0","                  0","0.0","0.0","                  0","本公司當年度總決算如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，依先提撥百分之十法定盈餘公積，但法定盈餘公積已達資本總額時不在此限。再依法令或相關規定就當年度盈餘提列或迴轉特別盈餘公積後，如尚有餘額，由董事會擬具分配案提請股東會決議分派之，就其餘額提撥員工紅利百分之二以上，並就前述扣除員工紅利前之餘額不高於百分之五限度內，提撥董事酬勞。當年度總決算之盈餘扣除前項所列項目後之餘額，連同上年度累積未分配盈餘為股東紅利可分配數額。
本公司未來股利之分派，將以配合公司未來發展、健全財務結構、並維持股東報酬之平衡為原則，惟公司自外界取得足夠資金支應該年度資金需求時，將就當年度所分配之股利中至少提撥百分之五十發放現金股利。","",
"1591 - 駿吉-KY","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/20","          5,577,995","         60,358,047","         36,002,356","          5,852,536","0.0","0.0","                  0","1.00000000","0.0","          3,014,982","103.(1)Where the Company has profits (before income tax) at the end of the Company’s fiscal year, it shall, with the approval of the Board by way of a resolution passed by the Board in accordance with Article 89 and a report to the Members in general meeting, set aside not more than 3 percent (3 %) for bonuses of Directors and not less than three percent (3%) and not more than eight percent (8%) to employees of the Company and of its Subordinate Companies who are determined by the Board in its reasonable discretion, provided, however, that cumulative losses shall be deducted first from the profits of the year before the balance is used to calculated the bonuses for employees and Directors. 
本公司會計年度終了有獲利(稅前淨利)時，經董事會依第89條規定決議並報告股東會，提撥董事酬勞不超過百分之三，本公司及從屬公司員工酬勞不低於百分之三且不高於百分之八，員工酬勞分配由董事會決定，但年度獲利應先扣除累積虧損，再就餘額計算員工酬勞及董事酬勞。

(2) Any balance profit left, after paying all relevant taxes, setting aside reserves, and deducting such amount as may be recommended by the Board not to distribute, may, with the approval of the Members in general meeting by way of an Ordinary Resolution, be distributed to the Members as dividends.
    上述酬勞分派後之盈餘，於完納稅捐、提列公積及扣除董事會建議不分配之數額後，經股東常會普通決議分派給股東為股利。

104.Since the Company is at the growth stage of its business, dividends will be in principle not less than 10% of the total retained earnings and may be distributed in the form of cash or  new shares and the ratio for cash dividend will be in principle not less than 5% of total distribution subject to adjustment in consideration of such factors as capital spending, financial health and business development. The Company may by Special Resolution, (a) 
 determine that the whole or a part of the profit distributable as dividends and/or bonuses be distributed in the form of new shares to be issued by the Company or, (b) declare that a dividend be satisfied wholly or in part by the distribution of specific assets of any kind and in particular of paid up shares, debentures or warrants to subscribe securities of the Company or any other company, or in any one or more of such ways.  Any fraction of such newly issued shares shall be paid in cash.  The Board may resolve that no such assets shall be made available to Members with registered addresses in any particular territory or territories where, in the absence of a registration statement or other special formalities, such  distribution of assets would or might, in the opinion of the Board, be unlawful or impracticable and in such event the only entitlement of the Members aforesaid shall be to receive cash payments as aforesaid.  Members affected as a result of the foregoing sentence shall not be or be deemed to be a separate class of Members for any purpose whatsoever.
    本公司於成長階段，股利以不低於可分配盈餘總數之百分之十為原則，股利分派得以現金股利或股票股利為之，現金股利比率以不低於股利總額百分之五為原則，但得視資本支出、健全財務及業務發展等因素調整。本公司得以股東會特別決議將(a)應分派股息或紅利之全部或一部，以發行新股方式為之；或(b)股息紅利之全部或一部，以分派資產，實收股份、債權股證或認購本公司或他公司有價證券之權證或其組合方式支付。畸零股得以現金支付。倘董事會認為股東受領實物分派未經登記或特定程序，依股東登記地址所在國家地區之法令屬違法或難以執行者，董事會對該股東得不為實物分派，而支付現金。前開股東不得視為不同種類之股東。","",
"1593 - 祺驊","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/23","         56,434,753","        100,021,698","        131,617,716","         58,896,372","2.40000000","0.60000000","         90,901,680","0.0","0.0","                  0","本公司每年決算如有盈餘，應先提繳稅款，彌補已往虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，每年就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","",
"1595 - 川寶","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/08","        848,159,737","         29,202,817","        874,479,190","        854,168,280","0.50000000","1.00000000","         60,932,730","0.0","0.0","                  0","彌補累積虧損後，再提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。","",
"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","摘錄公司章程-股利分派部分","備註",
"1599 - 宏佳騰","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/14","         54,201,401","        246,059,200","        244,042,290","         38,543,892","2.00000000","0.0","        102,749,198","2.00000000","0.0","         10,274,920","本公司每年度決算如有盈餘時，應依法提繳稅捐、彌補虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達公司資本總額時，不在此限。另依相關法令規定提列或迴轉特別盈餘公積，剩餘部分併同期初未分配盈餘為股東累積可分配盈餘，由董事會擬定盈餘分配案提請股東會決議分配之。","",
"1742 - 台蠟","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/22","       -118,154,532","       -153,903,737","       -271,798,903","       -271,798,903","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度決算如有盈餘，應先提繳稅款、彌補已往虧損，次提百分之十為法定盈餘公積，並視需要酌提特別盈餘公積，其餘由董事會擬具分配案提請股東會決議。","",
"1752 - 南光","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/28","        134,760,460","        225,499,182","        336,631,203","        235,642,731","1.00000000","0.60000000","        100,988,472","0.0","0.0","                  0","第廿五條：
為激勵員工及經營團隊，本公司依當年度稅前利益扣除分派員工酬勞及董事酬勞前之利益，於彌補虧損後，如尚有餘額應提撥不低於百分之三，不高於百分之七為員工酬勞及不高於百分之三為董事酬勞。 
員工酬勞以股票或現金方式分派時，應由董事會以董事三分之二以上之出席及出席董事過半數同意之決議行之，並報告於股東會。
員工酬勞發給股票或現金之對象包括符合一定條件之從屬公司員工。
第廿五條之一：每年決算如有盈餘，除依法提繳稅款外，應先彌補以往年度虧損，次提百分之十法定公積後，並依法提列或迴轉特別盈餘公積後，為當年度稅後盈餘可分配數。如前項尚有餘額，於加計以前年度未分配盈餘後，除保留部分外，分派股東股息及紅利分配數額不低於百分之三十，其中至少百分之三十以上得以現金方式發放，其餘為未分配盈餘。","",
"1777 - 生泰","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/16","        148,373,257","        158,466,213","        296,006,406","        190,797,981","3.50000000","0.0","        105,208,425","0.0","0.0","                  0","本公司當年度如有獲利(所謂獲利係指稅前淨利扣除下述分派員工酬勞與董監酬勞前之利益)，於彌補虧損後，如尚有餘額依下列方式分派之：
1.就其餘額提撥百分之一至百分之十為員工酬勞。
2.就其餘額提撥不高於百分之三為董監酬勞。
前項員工酬勞得以股票或現金為之，其給付對象得包括符合董事會所訂條件之從屬公司員工。前項董監酬勞僅得以現金為之。
前二項分派應由薪資報酬委員會提報董事會，以董事三分之二以上之出席及出席董事過半數同意之決議行之，並報告股東會。","",
"1781 - 合世","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/19","                  0","        -75,431,651","        -76,405,269","        -76,405,269","0.0","0.0","                  0","0.0","0.0","                  0","本公司應以當年度獲利狀況之百分之一至百分之十分派員工酬勞及應以不高於當年度獲利狀況之百分之三分派董事及監察人酬勞，但公司尚有累積虧損時，應予彌補。
本公司年度總決算如有盈餘，應先提繳稅款、彌補歷年累積虧損，次提10%為法定盈餘公積，但法定盈餘公積已達公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額再加計以前年度累積未分配盈餘由董事會擬具分派議案，提請股東會決議後分派之。","",
"1784 - 訊聯","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/20","                  0","         -9,440,227","         -9,479,650","         -9,479,650","0.0","0.0","                  0","0.0","0.0","                  0","第二十條之一：
本公司年度決算如有本期稅後淨利，應先彌補以往年度虧損(包括調整未分配盈餘金額)，次提撥百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積。如尚有盈餘，併同期初未分配盈餘(包括調整未分配盈餘金額)為股東累積可分配盈餘，由董事會擬具盈餘分配案提請股東會決議分配之。","",
"1785 - 光洋科","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/16","                  0","       -485,452,916","       -480,311,036","       -480,311,036","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度決算如有盈餘，依下列順序分派之。
一、提繳稅捐。
二、彌補虧損。
三、提存百分之十為法定盈餘公積。但法定盈餘公積累積達本公司資本額時，不在此限。
四、其他依法令規定或依主管機關命令提列或迴轉特別盈餘公積。
五、其餘加計以前年度之未分派盈餘，得酌於保留盈餘後，由董事會擬具盈餘分派議案，提請股東會決議之。","",
"1788 - 杏昌","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/06","        134,750,071","        207,556,888","        320,385,476","        145,385,476","5.00000000","0.0","        175,000,000","0.0","0.0","                  0","第 廿 條：公司年度總決算如有盈餘，依下列順序分配之：
一、先提繳稅款。
二、彌補以前年度虧損。
三、提列百分之十為法定盈餘公積。
四、依法令或主管機關規定提撥或迴轉特別盈餘公積。
五、餘額再加計以往年度未分配盈餘作為可供分配盈餘，由董事會擬定分配議案提請股東會決議分配之。","",
"1796 - 金穎生技","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/16","        -18,624,311","         94,122,557","         66,543,260","         14,134,839","2.10000000","0.0","         52,408,421","0.0","0.0","                  0","本公司年度決算如有盈餘，應先依法繳納營利事業所得稅，彌補以往年度虧損後，如尚有盈餘，應依法提列法定盈餘公積百分之十，其餘再依法令規定提列或迴轉特別盈餘公積後，為本期可供分配數，在加計上年度累積未分配盈餘後，為累積可分配盈餘，由董事會擬具盈餘分派議案，提請股東會決議後分派之。
本公司正處營業成長期，股利政策優先考量公司之未來發展及財務狀況，並兼顧股東之合理報酬，股東紅利應為累積可分配盈餘之30%以上，而股東紅利之現金股利所佔比率至少在10%以上。","",
"1799 - 易威","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/20","       -423,445,533","       -255,055,775","       -681,241,206","                  0","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策係採平衡股利政策，須視公司目前及未來之投資環境、資金需求、國內外競爭狀況及資本預算等因素，兼顧股東利益、平衡股利及公司長期財務規劃等，每年經董事會通過後提交股東會，以決議盈餘分派之金額、股利之種類及比率；惟其中現金股利分派之比例不得低於股利總額之百分之二十。","",
"1813 - 寶利徠","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/22","         98,924,391","         50,177,543","        148,011,103","        101,375,593","1.00000000","0.0","         46,635,510","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先提繳稅款，彌補累積虧損，次提撥百分之十為法定盈餘公積（但法定盈餘公積已達本公司資本總額時不在此限），並視需要或依法令規定提列或迴轉特別盈餘公積外，以餘額全部或部分連同累積未分配盈餘，由董事會視營運情況擬具盈餘分配議案，提請股東會決議分派股東股息紅利。本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素。","",
"1815 - 富喬","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/22","        481,763,978","        435,806,647","        780,185,176","        569,079,963","0.50000000","0.0","        211,105,213","0.0","0.0","                  0","本公司年度決算如有盈餘，於依法繳納一切稅捐及彌補虧損後，先提百分之十為法定盈餘公積，再依相關法令或主管機關規定提列或迴轉特別盈餘公積後，如尚有盈餘，連同累積未分配盈餘，由董事會擬具盈餘分配案，提請股東會決議分派股東紅利。
本公司股利政策，係因應整體產業環境及業務規模拓展、並考量公司之資本支出計劃、現金流量及營運盈餘狀況，及兼顧股東利益，故股東紅利之發放以股票及現金互相搭配，其中現金股利以佔百分之二十以上為原則。","",
"2035 - 唐榮公司","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/07","     -2,096,751,503","        503,349,625","     -1,653,579,610","                  0","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度決算如有盈餘，於完納稅捐後，應先彌補以前年度虧損、次提10％法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限；另並得依營運需要及依法令規定提列或迴轉特別盈餘公積，如尚有盈餘，得併同前一年度累積未分配盈餘，作為可供分配盈餘，由董事會視公司營運及財務情形擬具盈餘分配議案，提請股東會決議。
盈餘之分派 得以現金股利或股票股利之方式為之，現金股利並不得低於當年度股利總額50%為原則，但現金股利每股若未達0.1元，即暫不配發。
前項紅利之分派，以各股東持有股份之比例為準。應分派紅利之全部或一部，並得經由股東會特別決議以發行新股方式為之。不滿一股之金額以現金分派之。
本公司分派股東紅利，應充分考量公司重大投資計劃、產能擴充或其他重大資本支出等未來發展之資金需求，並兼顧股東之權益，經股東會決議後辦理。","",
"2061 - 風青","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/15","                  0","          4,511,810","          3,707,726","          3,707,726","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先提繳營利事業所得稅，彌補以往年度虧
損，次就其餘額依法提列法定盈餘公積百分之十，但法定盈餘公積已達實
收資本額時不在此限，另依法令規定提列或迴轉特別盈餘公積或迴轉特別
盈餘公積後，併同期初未分配盈餘為累積可分配盈餘，由董事會擬具分派
議案，提請股東會決議分派之。","",
"2063 - 世鎧","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/05/23","          7,426,243","         61,964,758","         61,795,858","          7,795,858","1.20000000","0.0","         54,000,000","0.0","0.0","                  0","本公司將考量公司所處環境及成長階段，因應未來資金需求及長期財務規劃，
並滿足股東
對現金流入的需求，因此當年度所分派的股利中，
以現金股利不低於股利總額之百分之六。","",
"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","摘錄公司章程-股利分派部分","備註",
"2064 - 晉椿","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/14","        352,480,455","        121,347,478","        443,260,804","        338,260,804","1.50000000","0.0","        105,000,000","0.0","0.0","                  0","公司年度如有獲利，應提撥百分之一至百分之三為員工酬勞及不高於百分之三為董監事酬勞。但公司尚有累積虧損時，應預先保留彌補數額。
前項員工酬勞發給股票或現金之對象，包括符合一定條件之從屬公司員工。 
公司年度總決算如有盈餘，應先提繳稅款，彌補以往虧損，次提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時不在此限；另視公司營運需要及法令規定提列特別盈餘公積，其餘除派付股息外，如尚有盈餘併同期初未分配盈餘，由董事會擬具盈餘分配案提請股東會決議分派之。
本公司股利政策依財務業務及經營面等因素，採穩健原則分派，因本公司處於營運成長階段，盈餘之分派得以股票股利或現金股利之方式分派，惟現金股利不得低於股利總額之百分之三十","",
"2065 - 世豐","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/15","        150,428,964","         88,973,118","        234,720,821","        143,995,807","2.50000000","0.50000000","         98,037,660","0.0","0.0","                  0","為考量公司所處環境及成長階段，因應未來資金需求及長期財務規劃，公司於年度決算後如有盈餘，於提撥分派股東股利時，其中現金股利不低於當年度配發股利總額之百分之十。","",
